1,"tensor(0.2252, device='cuda:0')","tensor(0.3319, device='cuda:0')"
1,"tensor(0.2370, device='cuda:0')","tensor(0.2253, device='cuda:0')"
1,"tensor(0.1912, device='cuda:0')","tensor(0.4432, device='cuda:0')"
2,"tensor(0.2270, device='cuda:0')","tensor(0.3818, device='cuda:0')"
3,"tensor(0.2820, device='cuda:0')","tensor(0.3963, device='cuda:0')"
4,"tensor(0.2467, device='cuda:0')","tensor(0.3294, device='cuda:0')"
5,"tensor(0.2243, device='cuda:0')","tensor(0.3307, device='cuda:0')"
6,"tensor(0.2230, device='cuda:0')","tensor(0.1554, device='cuda:0')"
7,"tensor(0.2714, device='cuda:0')","tensor(0.3876, device='cuda:0')"
8,"tensor(0.1088, device='cuda:0')","tensor(0.3341, device='cuda:0')"
9,"tensor(0.2571, device='cuda:0')","tensor(0.2675, device='cuda:0')"
10,"tensor(0.2042, device='cuda:0')","tensor(0.1722, device='cuda:0')"
11,"tensor(0.2068, device='cuda:0')","tensor(0.3370, device='cuda:0')"
12,"tensor(0.2185, device='cuda:0')","tensor(0.4310, device='cuda:0')"
13,"tensor(0.1876, device='cuda:0')","tensor(0.3298, device='cuda:0')"
14,"tensor(0.2128, device='cuda:0')","tensor(0.3934, device='cuda:0')"
15,"tensor(0.1892, device='cuda:0')","tensor(0.3317, device='cuda:0')"
16,"tensor(0.2097, device='cuda:0')","tensor(0.3363, device='cuda:0')"
17,"tensor(0.2419, device='cuda:0')","tensor(0.3848, device='cuda:0')"
18,"tensor(0.1667, device='cuda:0')","tensor(0.3801, device='cuda:0')"
19,"tensor(0.2369, device='cuda:0')","tensor(0.3334, device='cuda:0')"
20,"tensor(0.2735, device='cuda:0')","tensor(0.3358, device='cuda:0')"
21,"tensor(0.2155, device='cuda:0')","tensor(0.4389, device='cuda:0')"
22,"tensor(0.2328, device='cuda:0')","tensor(0.3264, device='cuda:0')"
23,"tensor(0.2170, device='cuda:0')","tensor(0.2587, device='cuda:0')"
